epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,758.9,1.85442,2.35686,1.37191,0.74414,0.12763,0.15338,0.07298,1.85071,2.1651,1.49563,0.000104597,0.000104597,0.000104597
77,768.814,1.86062,2.29627,1.36711,0.70891,0.13106,0.14121,0.07123,1.82626,2.21457,1.48097,0.000104139,0.000104139,0.000104139
78,778.766,1.88496,2.34951,1.3782,0.71555,0.13304,0.13916,0.07064,1.84026,2.19158,1.48229,0.00010368,0.00010368,0.00010368
79,788.685,1.82218,2.2909,1.35333,0.66057,0.12915,0.1554,0.08241,1.81462,2.15581,1.4707,0.000103221,0.000103221,0.000103221
80,798.649,1.82205,2.33634,1.32709,0.60779,0.13691,0.15242,0.08113,1.80256,2.16081,1.45681,0.000102763,0.000102763,0.000102763
81,808.659,1.8442,2.37482,1.36412,0.64791,0.11801,0.14863,0.07709,1.83163,2.20421,1.47168,0.000102304,0.000102304,0.000102304
82,818.512,1.8583,2.34674,1.34809,0.598,0.13451,0.15748,0.08123,1.81875,2.15779,1.46695,0.000101845,0.000101845,0.000101845
83,828.283,1.85698,2.30825,1.36739,0.60744,0.13421,0.15029,0.07797,1.83135,2.16943,1.46626,0.000101387,0.000101387,0.000101387
84,838.124,1.82465,2.25103,1.34273,0.65889,0.14417,0.15542,0.08544,1.80612,2.15252,1.4606,0.000100928,0.000100928,0.000100928
85,847.99,1.83024,2.30269,1.34962,0.69395,0.13456,0.16216,0.0853,1.80853,2.17004,1.45787,0.000100469,0.000100469,0.000100469
86,857.879,1.87841,2.31878,1.34793,0.58589,0.14756,0.17017,0.08628,1.78656,2.11444,1.44454,0.00010001,0.00010001,0.00010001
87,867.756,1.82735,2.24457,1.33607,0.60916,0.1426,0.15709,0.07956,1.80268,2.10336,1.44535,9.95518e-05,9.95518e-05,9.95518e-05
88,877.627,1.81349,2.21079,1.33894,0.5341,0.16086,0.16394,0.08109,1.83622,2.0973,1.4593,9.90931e-05,9.90931e-05,9.90931e-05
89,887.479,1.83978,2.23515,1.34635,0.72699,0.14486,0.16547,0.07972,1.80192,2.10624,1.45531,9.86344e-05,9.86344e-05,9.86344e-05
90,897.489,1.8171,2.19923,1.34193,0.56763,0.15467,0.17921,0.08077,1.78832,2.09123,1.44263,9.81757e-05,9.81757e-05,9.81757e-05
91,907.447,1.80692,2.2051,1.33255,0.61661,0.17339,0.16235,0.08217,1.78599,2.07267,1.45015,9.7717e-05,9.7717e-05,9.7717e-05
92,917.349,1.78428,2.17077,1.32453,0.67126,0.13734,0.17507,0.08735,1.80248,2.06229,1.44242,9.72583e-05,9.72583e-05,9.72583e-05
93,927.174,1.799,2.16393,1.34604,0.56509,0.16357,0.18657,0.09029,1.78795,2.0374,1.43627,9.67996e-05,9.67996e-05,9.67996e-05
94,937.145,1.76852,2.13497,1.32422,0.57847,0.17213,0.17839,0.08972,1.7946,2.04623,1.44016,9.63409e-05,9.63409e-05,9.63409e-05
95,947.076,1.80584,2.17321,1.32704,0.51115,0.19244,0.16835,0.08645,1.7954,2.05483,1.44472,9.58822e-05,9.58822e-05,9.58822e-05
96,957.03,1.80655,2.20859,1.34563,0.49139,0.17972,0.1752,0.08604,1.80501,2.05852,1.44106,9.54235e-05,9.54235e-05,9.54235e-05
97,966.96,1.78192,2.1326,1.33235,0.69836,0.13334,0.1777,0.088,1.8186,2.02938,1.44557,9.49648e-05,9.49648e-05,9.49648e-05
98,976.897,1.78917,2.18707,1.31953,0.59871,0.1545,0.16774,0.08599,1.80659,2.0836,1.4552,9.45061e-05,9.45061e-05,9.45061e-05
99,986.838,1.81028,2.12189,1.31069,0.51782,0.19196,0.19243,0.09421,1.79985,2.04677,1.44082,9.40474e-05,9.40474e-05,9.40474e-05
100,996.789,1.77992,2.14368,1.30777,0.72178,0.15613,0.19554,0.10206,1.78563,2.0022,1.43487,9.35887e-05,9.35887e-05,9.35887e-05
101,1006.73,1.77309,2.06528,1.29713,0.60739,0.17554,0.17542,0.08762,1.78753,1.9911,1.43322,9.313e-05,9.313e-05,9.313e-05
102,1016.69,1.79432,2.17223,1.30243,0.60554,0.17022,0.18891,0.09408,1.80623,2.0175,1.44237,9.26713e-05,9.26713e-05,9.26713e-05
103,1026.65,1.76919,2.08767,1.31514,0.65008,0.15952,0.18797,0.09925,1.78752,2.00006,1.43268,9.22126e-05,9.22126e-05,9.22126e-05
104,1036.61,1.77359,2.09313,1.31411,0.59788,0.18669,0.20166,0.10376,1.75395,2.00999,1.41667,9.17539e-05,9.17539e-05,9.17539e-05
105,1046.56,1.76155,2.10049,1.30163,0.62789,0.18077,0.18951,0.09509,1.74307,1.99433,1.41616,9.12952e-05,9.12952e-05,9.12952e-05
106,1056.51,1.77314,2.05506,1.29901,0.54284,0.18401,0.17512,0.08986,1.77044,2.0167,1.42739,9.08365e-05,9.08365e-05,9.08365e-05
107,1066.45,1.73786,2.04322,1.29537,0.64678,0.17976,0.18593,0.09672,1.73462,2.01328,1.41713,9.03778e-05,9.03778e-05,9.03778e-05
108,1076.41,1.78492,2.05591,1.31317,0.66762,0.17614,0.18939,0.09831,1.75174,1.9772,1.42206,8.99191e-05,8.99191e-05,8.99191e-05
109,1086.34,1.75169,2.02326,1.28321,0.58121,0.17148,0.19968,0.10135,1.7595,1.98374,1.42375,8.94604e-05,8.94604e-05,8.94604e-05
110,1096.3,1.77047,2.08457,1.30379,0.58118,0.1886,0.1943,0.09697,1.74382,1.98739,1.41396,8.90017e-05,8.90017e-05,8.90017e-05
111,1106.25,1.75667,1.9988,1.30804,0.63795,0.18935,0.19086,0.09702,1.76582,1.96377,1.42534,8.8543e-05,8.8543e-05,8.8543e-05
112,1116.21,1.73612,2.03849,1.29058,0.60031,0.17782,0.20577,0.10393,1.74935,1.95427,1.41505,8.80843e-05,8.80843e-05,8.80843e-05
113,1126.18,1.77947,2.07023,1.2907,0.64882,0.19361,0.20256,0.09665,1.74721,1.97052,1.41827,8.76256e-05,8.76256e-05,8.76256e-05
114,1136.12,1.70652,1.9506,1.27569,0.6786,0.18165,0.20161,0.10074,1.73528,1.98325,1.41172,8.71669e-05,8.71669e-05,8.71669e-05
115,1146.13,1.73548,1.99891,1.30524,0.48041,0.22228,0.198,0.10516,1.7338,1.96977,1.40496,8.67082e-05,8.67082e-05,8.67082e-05
116,1156.14,1.73579,1.99327,1.3109,0.59531,0.192,0.19922,0.10527,1.73085,1.96101,1.41065,8.62495e-05,8.62495e-05,8.62495e-05
117,1166.15,1.76003,1.98641,1.27213,0.49027,0.20539,0.19452,0.09793,1.73414,1.95433,1.40713,8.57908e-05,8.57908e-05,8.57908e-05
118,1176.16,1.72415,1.9546,1.27767,0.61908,0.19346,0.20868,0.10433,1.76607,1.96731,1.41359,8.53321e-05,8.53321e-05,8.53321e-05
119,1186.08,1.70872,1.96747,1.284,0.66329,0.18421,0.20713,0.10026,1.73862,1.94945,1.40006,8.48734e-05,8.48734e-05,8.48734e-05
120,1196.04,1.73888,1.96826,1.28295,0.66396,0.1845,0.20184,0.105,1.7481,1.93547,1.40336,8.44147e-05,8.44147e-05,8.44147e-05
121,1205.97,1.70287,1.90591,1.28964,0.70562,0.17142,0.20755,0.1069,1.73431,1.95113,1.40505,8.3956e-05,8.3956e-05,8.3956e-05
122,1215.92,1.71515,1.9731,1.25566,0.6944,0.17793,0.21374,0.11144,1.72932,1.92454,1.39977,8.34973e-05,8.34973e-05,8.34973e-05
123,1225.86,1.70889,1.94536,1.27625,0.71455,0.1756,0.21741,0.11202,1.74233,1.89478,1.40521,8.30386e-05,8.30386e-05,8.30386e-05
124,1235.82,1.69378,1.9056,1.26002,0.62645,0.20396,0.21692,0.11123,1.74172,1.90956,1.39544,8.25799e-05,8.25799e-05,8.25799e-05
125,1245.78,1.68679,1.93631,1.246,0.70007,0.17624,0.20723,0.11049,1.7356,1.91773,1.39098,8.21212e-05,8.21212e-05,8.21212e-05
126,1255.71,1.6828,1.87376,1.26992,0.60982,0.20004,0.20314,0.10357,1.74924,1.90308,1.39629,8.16625e-05,8.16625e-05,8.16625e-05
127,1265.67,1.70088,1.9094,1.25561,0.62298,0.20482,0.23187,0.11741,1.74024,1.89391,1.39558,8.12038e-05,8.12038e-05,8.12038e-05
128,1275.62,1.68346,1.86109,1.25466,0.69766,0.19136,0.22777,0.11637,1.70795,1.91234,1.38404,8.07451e-05,8.07451e-05,8.07451e-05
129,1285.55,1.71626,1.92749,1.2667,0.67846,0.16963,0.21477,0.11088,1.72846,1.90932,1.39607,8.02864e-05,8.02864e-05,8.02864e-05
130,1295.46,1.72337,1.89947,1.26637,0.70329,0.18026,0.21351,0.11033,1.71982,1.90657,1.38615,7.98277e-05,7.98277e-05,7.98277e-05
131,1305.57,1.67943,1.92409,1.26645,0.64599,0.1915,0.20638,0.10876,1.72746,1.91796,1.39699,7.9369e-05,7.9369e-05,7.9369e-05
132,1315.64,1.68464,1.89755,1.26695,0.72648,0.17412,0.22022,0.11362,1.73105,1.93199,1.38505,7.89103e-05,7.89103e-05,7.89103e-05
133,1325.83,1.72282,1.91485,1.26141,0.65059,0.18763,0.21003,0.10783,1.7248,1.90272,1.38131,7.84516e-05,7.84516e-05,7.84516e-05
134,1336.01,1.68651,1.92679,1.25947,0.51883,0.24362,0.22021,0.11704,1.73319,1.90255,1.39542,7.79929e-05,7.79929e-05,7.79929e-05
135,1346.21,1.69346,1.82492,1.26547,0.72518,0.1784,0.21476,0.10921,1.73638,1.89694,1.389,7.75342e-05,7.75342e-05,7.75342e-05
136,1356.4,1.70561,1.91129,1.27382,0.62767,0.21325,0.23025,0.11549,1.74356,1.90257,1.38891,7.70755e-05,7.70755e-05,7.70755e-05
137,1366.56,1.71804,1.93247,1.25876,0.49853,0.24861,0.22633,0.11423,1.72898,1.89792,1.38948,7.66168e-05,7.66168e-05,7.66168e-05
138,1376.8,1.66442,1.81546,1.26244,0.4303,0.24064,0.22112,0.1126,1.71842,1.89171,1.37821,7.61581e-05,7.61581e-05,7.61581e-05
139,1386.9,1.68961,1.8715,1.25461,0.4469,0.26204,0.23629,0.1199,1.72241,1.87616,1.38082,7.56994e-05,7.56994e-05,7.56994e-05
140,1396.96,1.66179,1.85892,1.25744,0.76134,0.16327,0.22877,0.11632,1.72191,1.86917,1.38265,7.52407e-05,7.52407e-05,7.52407e-05
141,1407.03,1.67037,1.89938,1.25988,0.67012,0.20558,0.22721,0.11699,1.70705,1.88187,1.37399,7.4782e-05,7.4782e-05,7.4782e-05
142,1417.27,1.66618,1.90288,1.23034,0.63192,0.20386,0.23918,0.1236,1.72409,1.8695,1.3831,7.43233e-05,7.43233e-05,7.43233e-05
143,1427.59,1.69232,1.83674,1.26364,0.49768,0.21988,0.22388,0.11771,1.72579,1.88336,1.39505,7.38646e-05,7.38646e-05,7.38646e-05
144,1437.83,1.70704,1.84634,1.2571,0.5995,0.24583,0.2351,0.12147,1.7334,1.8574,1.39269,7.34059e-05,7.34059e-05,7.34059e-05
145,1447.86,1.67387,1.8516,1.24986,0.6955,0.20381,0.22678,0.11855,1.71163,1.8704,1.37913,7.29472e-05,7.29472e-05,7.29472e-05
146,1457.88,1.65624,1.84678,1.22675,0.69354,0.1969,0.2284,0.11807,1.70367,1.86427,1.37611,7.24885e-05,7.24885e-05,7.24885e-05
147,1467.92,1.65865,1.83691,1.24372,0.53672,0.23692,0.23287,0.12134,1.71176,1.85879,1.38153,7.20298e-05,7.20298e-05,7.20298e-05
148,1477.89,1.67047,1.83209,1.21967,0.72961,0.1944,0.23534,0.12099,1.706,1.85237,1.37397,7.15711e-05,7.15711e-05,7.15711e-05
149,1487.98,1.67103,1.82096,1.26845,0.68608,0.19918,0.22646,0.11927,1.69967,1.82742,1.37599,7.11124e-05,7.11124e-05,7.11124e-05
150,1498.02,1.67143,1.83853,1.23247,0.73663,0.18239,0.23038,0.11708,1.71963,1.85795,1.37466,7.06537e-05,7.06537e-05,7.06537e-05
151,1508.06,1.63957,1.81594,1.23531,0.44153,0.25329,0.22806,0.1144,1.73306,1.83705,1.39005,7.0195e-05,7.0195e-05,7.0195e-05
152,1518.09,1.65676,1.77398,1.24324,0.46546,0.24319,0.23047,0.1163,1.72877,1.85335,1.38248,6.97363e-05,6.97363e-05,6.97363e-05
153,1528.08,1.61871,1.77342,1.21417,0.47137,0.24984,0.2432,0.12689,1.71024,1.85228,1.37389,6.92776e-05,6.92776e-05,6.92776e-05
154,1538.1,1.66516,1.81149,1.2355,0.71799,0.18121,0.24517,0.12892,1.72889,1.85755,1.38056,6.88189e-05,6.88189e-05,6.88189e-05
155,1548.16,1.6574,1.83245,1.23649,0.72162,0.18345,0.22813,0.12072,1.70928,1.84381,1.3723,6.83602e-05,6.83602e-05,6.83602e-05
156,1558.25,1.65454,1.79774,1.24652,0.65472,0.2037,0.23476,0.122,1.71669,1.85627,1.37839,6.79015e-05,6.79015e-05,6.79015e-05
157,1568.37,1.66165,1.82296,1.239,0.64696,0.20889,0.23545,0.12304,1.70884,1.83536,1.37439,6.74428e-05,6.74428e-05,6.74428e-05
158,1578.48,1.65617,1.77269,1.23415,0.57257,0.24383,0.22823,0.11669,1.71275,1.82521,1.37744,6.69841e-05,6.69841e-05,6.69841e-05
159,1588.5,1.64418,1.77055,1.22472,0.52867,0.2499,0.23537,0.12144,1.70518,1.81659,1.37005,6.65254e-05,6.65254e-05,6.65254e-05
160,1598.61,1.63747,1.75835,1.23117,0.71824,0.18648,0.23624,0.12119,1.70019,1.83297,1.36693,6.60667e-05,6.60667e-05,6.60667e-05
161,1608.67,1.60815,1.77181,1.22086,0.50912,0.26512,0.26455,0.13153,1.69565,1.82796,1.37396,6.5608e-05,6.5608e-05,6.5608e-05
162,1618.82,1.64156,1.78572,1.22618,0.48899,0.25696,0.2569,0.12878,1.70966,1.84102,1.37791,6.51493e-05,6.51493e-05,6.51493e-05
163,1628.92,1.66097,1.77627,1.24279,0.65604,0.19756,0.23643,0.12277,1.69703,1.83156,1.37016,6.46906e-05,6.46906e-05,6.46906e-05
164,1638.98,1.63802,1.79656,1.22373,0.43779,0.25307,0.24645,0.12822,1.70567,1.82991,1.37046,6.42319e-05,6.42319e-05,6.42319e-05
165,1649.01,1.6272,1.72995,1.24606,0.71698,0.18497,0.23513,0.12282,1.71386,1.82626,1.3765,6.37732e-05,6.37732e-05,6.37732e-05
166,1659.07,1.63223,1.78189,1.23019,0.53647,0.25327,0.24503,0.12843,1.71592,1.81885,1.37123,6.33145e-05,6.33145e-05,6.33145e-05
167,1669.12,1.6142,1.71094,1.22772,0.52301,0.26402,0.24923,0.12717,1.6916,1.82681,1.36905,6.28558e-05,6.28558e-05,6.28558e-05
